Número de parte,Descripción,         Cantidad,Fabricante,Precio
00HM612, AC ADAPTER,"1,000",1050198,"             2,50"
00NY420,DISPLAY AUO 14.0 FHD IPS AG ON-CELL,"1,000",1050198,"             0,96"
00RX908,1.8TB 4KN,"1,000",1050899,"           473,34"
00Y2428,300GB15KHD,"1,000",1051099,"           479,86"
01AW324,PLNR WIN,"2,000",1050198,"            18,33"
01AX003,NB_KYB LAS,"1,000",1050198,"            95,45"
01EN122,HDD_ASM HDD 500G 7200 7MM SEA SATA3,"1,000",1050198,"             0,05"
01FR031,AC_ADAPTER DELTA ADLX65YDC2A 20V3.25A,"1,000",1050198,"             0,21"
01HX302,NB_KYB WINDU2 CHY NBL-KB LAS,"1,000",1050198,"            47,58"
01LW726,BDPLANAR FRU I7-6500U WIN NY 1.2+2.0 MT,"1,000",1050198,"           527,54"
01YL544,CANPOS2 SP,"1,000",1051099,"           385,02"
39J3695,ROHS 35GB,"1,000",1050899,"           158,39"
40N5061,THERM ASM,"1,000",1051299,"            94,53"
7430420,TOP CVR PW  ,"1,000",1051299,"            69,70"
00NY409,DISPLAY,"1,000",1050198,"            6,73"
01AV406,BATTERY,"1,000",1050198,"            15,33"
01AX487,KBD BL US,"2,000",1050198,"            20,05"
01EN125,HDD 500G,"1,000",1050198,"            55,87"
01FR301,MEMORY 8G,"1,000",1050198,"            25,50"
01YY080,MONITOR,"1,000",1050198,"            48,20"
5B20U53832,BDPLANAR L B360 35W WW WIN DPK,"1,000",1050199,"            78,10"
